Term	Category	Count	%	PValue	Genes	List Total	Pop Hits	Pop Total	Fold Enrichment	Bonferroni	Benjamini	FDR	Hit
mmu00120:Primary bile acid biosynthesis	KEGG_PATHWAY	6	7.692307692	3.54E-07	"ENSMUSG00000028240, ENSMUSG00000026170, ENSMUSG00000030382, ENSMUSG00000050445, ENSMUSG00000021751, ENSMUSG00000028603"	78	16	7691	36.97596154	2.69E-05	2.69E-06	2.09E-04	Low
mmu01100:Metabolic pathways	KEGG_PATHWAY	31	39.74358974	1.82E-06	"ENSMUSG00000028240, ENSMUSG00000032883, ENSMUSG00000031278, ENSMUSG00000030382, ENSMUSG00000029098, ENSMUSG00000063929, ENSMUSG00000027875, ENSMUSG00000024981, ENSMUSG00000025059, ENSMUSG00000032281, ENSMUSG00000026003, ENSMUSG00000021751, ENSMUSG00000028603, ENSMUSG00000027513, ENSMUSG00000018796, ENSMUSG00000024207, ENSMUSG00000050553, ENSMUSG00000066072, ENSMUSG00000010651, ENSMUSG00000066071, ENSMUSG00000026170, ENSMUSG00000062908, ENSMUSG00000078597, ENSMUSG00000040618, ENSMUSG00000020333, ENSMUSG00000028712, ENSMUSG00000022853, ENSMUSG00000020777, ENSMUSG00000032418, ENSMUSG00000036138, ENSMUSG00000050445"	78	1269	7691	2.40873088	1.38E-04	1.26E-05	9.75E-04	Low
mmu00592:alpha-Linolenic acid metabolism	KEGG_PATHWAY	5	6.41025641	1.00E-04	"ENSMUSG00000020777, ENSMUSG00000029098, ENSMUSG00000036138, ENSMUSG00000010651, ENSMUSG00000024665"	78	25	7691	19.72051282	0.007583613	6.34E-04	0.049245163	Low
"mmu00280:Valine, leucine and isoleucine degradation"	KEGG_PATHWAY	5	6.41025641	0.002152071	"ENSMUSG00000022853, ENSMUSG00000062908, ENSMUSG00000027875, ENSMUSG00000036138, ENSMUSG00000010651"	78	55	7691	8.963869464	0.15103186	0.012581336	0.976709014	Low
mmu05216:Thyroid cancer	KEGG_PATHWAY	4	5.128205128	0.002923774	"ENSMUSG00000015846, ENSMUSG00000039656, ENSMUSG00000015843, ENSMUSG00000000440"	78	29	7691	13.60035367	0.199510859	0.015871917	1.232161965	Low
mmu04922:Glucagon signaling pathway	KEGG_PATHWAY	6	7.692307692	0.003168924	"ENSMUSG00000007783, ENSMUSG00000024900, ENSMUSG00000040618, ENSMUSG00000022383, ENSMUSG00000078937, ENSMUSG00000027513"	78	100	7691	5.916153846	0.214331728	0.016055881	1.246443388	Low
mmu04975:Fat digestion and absorption	KEGG_PATHWAY	4	5.128205128	0.00632893	"ENSMUSG00000054422, ENSMUSG00000002944, ENSMUSG00000032083, ENSMUSG00000023057"	78	38	7691	10.37921727	0.382778444	0.030062417	2.333792922	Low
mmu00830:Retinol metabolism	KEGG_PATHWAY	5	6.41025641	0.011936902	"ENSMUSG00000078597, ENSMUSG00000063929, ENSMUSG00000066072, ENSMUSG00000028712, ENSMUSG00000066071"	78	89	7691	5.539469893	0.598546123	0.050400252	3.912651177	Low
mmu00590:Arachidonic acid metabolism	KEGG_PATHWAY	5	6.41025641	0.011936902	"ENSMUSG00000078597, ENSMUSG00000063929, ENSMUSG00000066072, ENSMUSG00000028712, ENSMUSG00000066071"	78	89	7691	5.539469893	0.598546123	0.050400252	3.912651177	Low
mmu05223:Non-small cell lung cancer	KEGG_PATHWAY	4	5.128205128	0.01829554	"ENSMUSG00000015846, ENSMUSG00000039656, ENSMUSG00000015843, ENSMUSG00000024122"	78	56	7691	7.043040293	0.754224792	0.07318216	5.681246595	Low
mmu01130:Biosynthesis of antibiotics	KEGG_PATHWAY	7	8.974358974	0.019916225	"ENSMUSG00000022853, ENSMUSG00000062908, ENSMUSG00000040618, ENSMUSG00000027875, ENSMUSG00000036138, ENSMUSG00000027513, ENSMUSG00000010651"	78	214	7691	3.225317517	0.783228008	0.075681655	5.875286404	Low
mmu04750:Inflammatory mediator regulation of TRP channels	KEGG_PATHWAY	5	6.41025641	0.03717054	"ENSMUSG00000078597, ENSMUSG00000063929, ENSMUSG00000066072, ENSMUSG00000028712, ENSMUSG00000066071"	78	126	7691	3.912800163	0.943797953	0.13160714	10.2168701	Low
mmu04270:Vascular smooth muscle contraction	KEGG_PATHWAY	5	6.41025641	0.038096804	"ENSMUSG00000078597, ENSMUSG00000063929, ENSMUSG00000066072, ENSMUSG00000028712, ENSMUSG00000066071"	78	127	7691	3.881990713	0.947762311	0.13160714	10.2168701	Low
mmu00620:Pyruvate metabolism	KEGG_PATHWAY	3	3.846153846	0.057779699	"ENSMUSG00000040618, ENSMUSG00000032418, ENSMUSG00000027513"	78	39	7691	7.584812623	0.989146077	0.190924224	14.82174895	Low
R-MMU-163560:R-MMU-163560	REACTOME_PATHWAY	8	10.25641026	1.38E-11	"ENSMUSG00000019874, ENSMUSG00000054422, ENSMUSG00000028773, ENSMUSG00000020405, ENSMUSG00000027533, ENSMUSG00000030546, ENSMUSG00000023057, ENSMUSG00000062515"	71	14	7575	60.96579477	2.39E-09	2.40E-09	2.24E-07	Hit
R-MMU-5362517:R-MMU-5362517	REACTOME_PATHWAY	7	8.974358974	1.75E-08	"ENSMUSG00000002250, ENSMUSG00000024900, ENSMUSG00000015846, ENSMUSG00000027533, ENSMUSG00000039656, ENSMUSG00000015843, ENSMUSG00000078937"	71	20	7575	37.3415493	3.03E-06	1.41E-06	1.32E-04	Hit
R-MMU-75876:R-MMU-75876	REACTOME_PATHWAY	7	8.974358974	2.44E-08	"ENSMUSG00000031278, ENSMUSG00000032883, ENSMUSG00000018796, ENSMUSG00000024207, ENSMUSG00000024981, ENSMUSG00000032281, ENSMUSG00000020333"	71	21	7575	35.56338028	4.21E-06	1.41E-06	1.32E-04	Hit
R-MMU-193368:R-MMU-193368	REACTOME_PATHWAY	7	8.974358974	9.97E-08	"ENSMUSG00000028240, ENSMUSG00000026170, ENSMUSG00000015846, ENSMUSG00000030382, ENSMUSG00000021751, ENSMUSG00000028603, ENSMUSG00000027359"	71	26	7575	28.72426869	1.72E-05	3.81E-06	3.55E-04	Hit
R-MMU-2046106:R-MMU-2046106	REACTOME_PATHWAY	6	7.692307692	1.09E-07	"ENSMUSG00000018796, ENSMUSG00000020777, ENSMUSG00000036138, ENSMUSG00000028603, ENSMUSG00000010651, ENSMUSG00000024665"	71	14	7575	45.72434608	1.89E-05	3.81E-06	3.55E-04	Hit
R-MMU-200425:R-MMU-200425	REACTOME_PATHWAY	5	6.41025641	2.10E-06	"ENSMUSG00000002250, ENSMUSG00000028607, ENSMUSG00000024900, ENSMUSG00000015846, ENSMUSG00000078937"	71	11	7575	48.49551857	3.64E-04	5.38E-05	0.005004684	Low
R-MMU-174800:R-MMU-174800	REACTOME_PATHWAY	6	7.692307692	2.16E-06	"ENSMUSG00000032079, ENSMUSG00000005681, ENSMUSG00000015568, ENSMUSG00000032083, ENSMUSG00000032081, ENSMUSG00000002289"	71	24	7575	26.67253521	3.74E-04	5.38E-05	0.005004684	Low
R-MMU-383280:R-MMU-383280	REACTOME_PATHWAY	7	8.974358974	6.50E-06	"ENSMUSG00000002250, ENSMUSG00000015846, ENSMUSG00000002108, ENSMUSG00000022383, ENSMUSG00000039656, ENSMUSG00000015843, ENSMUSG00000000440"	71	51	7575	14.64374482	0.001124155	1.41E-04	0.013165825	Low
R-MMU-211935:R-MMU-211935	REACTOME_PATHWAY	5	6.41025641	2.33E-05	"ENSMUSG00000078597, ENSMUSG00000063929, ENSMUSG00000066072, ENSMUSG00000028712, ENSMUSG00000066071"	71	19	7575	28.07635285	0.004030615	4.51E-04	0.04202129	Low
R-MMU-2142816:R-MMU-2142816	REACTOME_PATHWAY	5	6.41025641	1.00E-04	"ENSMUSG00000078597, ENSMUSG00000063929, ENSMUSG00000066072, ENSMUSG00000028712, ENSMUSG00000066071"	71	27	7575	19.75743349	0.017146587	0.00173944	0.161947819	Low
R-MMU-804914:R-MMU-804914	REACTOME_PATHWAY	3	3.846153846	4.99E-04	"ENSMUSG00000059316, ENSMUSG00000031808, ENSMUSG00000024600"	71	4	7575	80.01760563	0.082739485	0.007894662	0.735020292	Low
R-MMU-75105:R-MMU-75105	REACTOME_PATHWAY	4	5.128205128	0.001687323	"ENSMUSG00000037071, ENSMUSG00000026385, ENSMUSG00000025202, ENSMUSG00000025203"	71	26	7575	16.41386782	0.253346006	0.022963794	2.138008377	Low
R-MMU-390247:R-MMU-390247	REACTOME_PATHWAY	3	3.846153846	0.001715686	"ENSMUSG00000020777, ENSMUSG00000036138, ENSMUSG00000010651"	71	7	7575	45.72434608	0.257006916	0.022963794	2.138008377	Low
R-MMU-389887:R-MMU-389887	REACTOME_PATHWAY	3	3.846153846	0.003611097	"ENSMUSG00000029098, ENSMUSG00000021751, ENSMUSG00000028603"	71	10	7575	32.00704225	0.465193609	0.044880778	4.178555217	Low
R-MMU-193775:R-MMU-193775	REACTOME_PATHWAY	3	3.846153846	0.010467561	"ENSMUSG00000026170, ENSMUSG00000030382, ENSMUSG00000027359"	71	17	7575	18.82767191	0.838044324	0.118130653	10.99837118	Low
R-MMU-975634:R-MMU-975634	REACTOME_PATHWAY	4	5.128205128	0.010862589	"ENSMUSG00000005681, ENSMUSG00000015568, ENSMUSG00000032083, ENSMUSG00000032081"	71	50	7575	8.535211268	0.848854001	0.118130653	10.99837118	Low
R-MMU-159418:R-MMU-159418	REACTOME_PATHWAY	3	3.846153846	0.011706214	"ENSMUSG00000015846, ENSMUSG00000030382, ENSMUSG00000020405"	71	18	7575	17.78169014	0.869596517	0.119816544	11.15533336	Low
R-MMU-194223:R-MMU-194223	REACTOME_PATHWAY	3	3.846153846	0.013005927	"ENSMUSG00000032083, ENSMUSG00000032081, ENSMUSG00000017754"	71	19	7575	16.84581171	0.896147676	0.125723962	11.70533443	Low
R-MMU-400206:R-MMU-400206	REACTOME_PATHWAY	3	3.846153846	0.0143655	"ENSMUSG00000054422, ENSMUSG00000015846, ENSMUSG00000022383"	71	20	7575	16.00352113	0.918181763	0.131557737	12.24847895	Low
R-MMU-211976:R-MMU-211976	REACTOME_PATHWAY	3	3.846153846	0.015783748	"ENSMUSG00000028240, ENSMUSG00000026170, ENSMUSG00000015846"	71	21	7575	15.24144869	0.936223301	0.13731861	12.78483606	Low
R-MMU-2426168:R-MMU-2426168	REACTOME_PATHWAY	3	3.846153846	0.023714792	"ENSMUSG00000037071, ENSMUSG00000025202, ENSMUSG00000025203"	71	26	7575	12.31040087	0.984268479	0.196493989	18.29426794	Low
R-MMU-3000471:R-MMU-3000471	REACTOME_PATHWAY	2	2.564102564	0.036461598	"ENSMUSG00000002944, ENSMUSG00000032083"	71	4	7575	53.34507042	0.998380646	0.288378095	26.84899503	Low
R-MMU-2046105:R-MMU-2046105	REACTOME_PATHWAY	2	2.564102564	0.071612055	"ENSMUSG00000018796, ENSMUSG00000024665"	71	8	7575	26.67253521	0.999997387	0.541760767	50.43979556	Low
R-MMU-442533:R-MMU-442533	REACTOME_PATHWAY	3	3.846153846	0.091452514	"ENSMUSG00000015846, ENSMUSG00000000440, ENSMUSG00000062515"	71	55	7575	5.819462228	0.999999938	0.636509501	59.26122938	Low
R-MMU-381340:R-MMU-381340	REACTOME_PATHWAY	3	3.846153846	0.091452514	"ENSMUSG00000015846, ENSMUSG00000000440, ENSMUSG00000062515"	71	55	7575	5.819462228	0.999999938	0.636509501	59.26122938	Low
